MINNESOTATIMBERWOLVES,111,LOSANGELESLAKERS,92,3.22,1.35
PHILADELPHIA76ERS,96,BROOKLYNNETS,103,1.69,2.22
CLEVELANDCAVALIERS,87,CHARLOTTEHORNETS,72,1.95,1.84
MIAMIHEAT,105,DETROITPISTONS,89,1.13,5.97
MILWAUKEEBUCKS,92,CHICAGOBULLS,83,1.7,2.14
HOUSTONROCKETS,88,ORLANDOMAGIC,97,2.42,1.56
DALLASMAVERICKS,94,WASHINGTONWIZARDS,97,1.4,2.96
SACRAMENTOKINGS,109,PHOENIXSUNS,95,1.77,2.05
PORTLANDTRAILBLAZERS,115,LOSANGELESCLIPPERS,86,1.42,2.9
MINNESOTATIMBERWOLVES,106,NEWYORKKNICKS,100,2.23,1.64
CHARLOTTEHORNETS,93,OKLAHOMACITYTHUNDER,97,2.2,1.65
BOSTONCELTICS,93,PHILADELPHIA76ERS,65,1.36,3.14
MEMPHISGRIZZLIES,87,INDIANAPACERS,85,1.51,2.52
PHOENIXSUNS,78,TORONTORAPTORS,129,1.53,2.45
BROOKLYNNETS,92,BOSTONCELTICS,96,2.85,1.42
ATLANTAHAWKS,111,MEMPHISGRIZZLIES,115,1.33,3.35
CLEVELANDCAVALIERS,83,WASHINGTONWIZARDS,97,1.83,1.97
HOUSTONROCKETS,90,SANANTONIOSPURS,87,1.45,2.78
DALLASMAVERICKS,88,CHICAGOBULLS,83,1.31,3.41
UTAHJAZZ,100,PORTLANDTRAILBLAZERS,96,1.42,2.9
SACRAMENTOKINGS,88,LOSANGELESCLIPPERS,120,1.29,3.52
INDIANAPACERS,86,ORLANDOMAGIC,93,3.1,1.37
DETROITPISTONS,115,MILWAUKEEBUCKS,110,1.55,2.45
CHICAGOBULLS,107,WASHINGTONWIZARDS,96,1.55,2.44
MIAMIHEAT,103,OKLAHOMACITYTHUNDER,96,1.37,3.1
DENVERNUGGETS,109,PORTLANDTRAILBLAZERS,99,1.32,3.37
GOLDENSTATEWARRIORS,127,LOSANGELESCLIPPERS,87,1.5,2.56
BROOKLYNNETS,90,PHILADELPHIA76ERS,89,1.42,3.04
HOUSTONROCKETS,126,INDIANAPACERS,92,1.46,2.64
NEWORLEANSPELICANS,90,MEMPHISGRIZZLIES,97,1.37,3.07
